Date,Total Assets
01-Aug-07,870261
08-Aug-07,865453
15-Aug-07,864931
22-Aug-07,862775
29-Aug-07,872873
05-Sep-07,871156
12-Sep-07,886314
19-Sep-07,867732
26-Sep-07,889900
03-Oct-07,869051
10-Oct-07,886363
17-Oct-07,869509
24-Oct-07,881395
31-Oct-07,883385
07-Nov-07,885724
14-Nov-07,889537
21-Nov-07,891028
28-Nov-07,879417
05-Dec-07,882764
12-Dec-07,881750
19-Dec-07,887983
26-Dec-07,890662
02-Jan-08,922187
09-Jan-08,880754
16-Jan-08,893581
23-Jan-08,877253
30-Jan-08,900264
06-Feb-08,871022
13-Feb-08,883005
20-Feb-08,878949
27-Feb-08,893825
05-Mar-08,881208
12-Mar-08,896565
19-Mar-08,888646
26-Mar-08,893965
02-Apr-08,883708
09-Apr-08,893029
16-Apr-08,881904
23-Apr-08,885781
30-Apr-08,888131
07-May-08,889228
14-May-08,880175
21-May-08,898487
28-May-08,904054
04-Jun-08,895939
11-Jun-08,890610
18-Jun-08,902304
25-Jun-08,892713
02-Jul-08,902962
09-Jul-08,898034
16-Jul-08,910681
23-Jul-08,899665
30-Jul-08,918625
06-Aug-08,901710
13-Aug-08,914632
20-Aug-08,898611
27-Aug-08,909982
03-Sep-08,905253
10-Sep-08,925725
17-Sep-08,995093
24-Sep-08,1211825
01-Oct-08,1503989
08-Oct-08,1591587
15-Oct-08,1770809
22-Oct-08,1802602
29-Oct-08,1969086
05-Nov-08,2074205
12-Nov-08,2212852
19-Nov-08,2187137
26-Nov-08,2106117
03-Dec-08,2136924
10-Dec-08,2250012
17-Dec-08,2254983
24-Dec-08,2232311
31-Dec-08,2239457
07-Jan-09,2121439
14-Jan-09,2049714
21-Jan-09,2037112
28-Jan-09,1927082
04-Feb-09,1851437
11-Feb-09,1843400
18-Feb-09,1915562
25-Feb-09,1916115
04-Mar-09,1901317
11-Mar-09,1899514
18-Mar-09,2066942
25-Mar-09,2071556
01-Apr-09,2078936
08-Apr-09,2088573
15-Apr-09,2186498
22-Apr-09,2196812
29-Apr-09,2066712
06-May-09,2079758
13-May-09,2196351
20-May-09,2181632
27-May-09,2080115
03-Jun-09,2077695
10-Jun-09,2052297
17-Jun-09,2072527
24-Jun-09,2025571
01-Jul-09,2005627
08-Jul-09,1992740
15-Jul-09,2072451
22-Jul-09,2039001
29-Jul-09,2000547
05-Aug-09,1989203
12-Aug-09,2014899
19-Aug-09,2060641
26-Aug-09,2074902
02-Sep-09,2083720
09-Sep-09,2087946
16-Sep-09,2139783
23-Sep-09,2158631
30-Sep-09,2141020
07-Oct-09,2138086
14-Oct-09,2192787
21-Oct-09,2201119
28-Oct-09,2161537
04-Nov-09,2165067
11-Nov-09,2135035
18-Nov-09,2208721
25-Nov-09,2206359
02-Dec-09,2204074
09-Dec-09,2186383
16-Dec-09,2235763
23-Dec-09,2235803
30-Dec-09,2234067
06-Jan-10,2235304
13-Jan-10,2291700
20-Jan-10,2251806
27-Jan-10,2246886
03-Feb-10,2249319
10-Feb-10,2256679
17-Feb-10,2277574
24-Feb-10,2286127
03-Mar-10,2280147
10-Mar-10,2282474
17-Mar-10,2307997
24-Mar-10,2313149
31-Mar-10,2307150
07-Apr-10,2307575
14-Apr-10,2339345
21-Apr-10,2337556
28-Apr-10,2330472
05-May-10,2326164
12-May-10,2336103
19-May-10,2350890
26-May-10,2334041
02-Jun-10,2336216
09-Jun-10,2331529
16-Jun-10,2344316
23-Jun-10,2344497
30-Jun-10,2330851
07-Jul-10,2332017
14-Jul-10,2340717
21-Jul-10,2332322
28-Jul-10,2325298
04-Aug-10,2326479
11-Aug-10,2327533
18-Aug-10,2313662
25-Aug-10,2301015
01-Sep-10,2301996
08-Sep-10,2305802
15-Sep-10,2296079
22-Sep-10,2307171
29-Sep-10,2298691
06-Oct-10,2308092
13-Oct-10,2309885
20-Oct-10,2305227
27-Oct-10,2295392
03-Nov-10,2300353
10-Nov-10,2312768
17-Nov-10,2314757
24-Nov-10,2346001
01-Dec-10,2346920
08-Dec-10,2382294
15-Dec-10,2385754
22-Dec-10,2427921
29-Dec-10,2420570
05-Jan-11,2436064
12-Jan-11,2468131
19-Jan-11,2425164
26-Jan-11,2443527
02-Feb-11,2469419
09-Feb-11,2500481
16-Feb-11,2508868
23-Feb-11,2533221
02-Mar-11,2545119
09-Mar-11,2577076
16-Mar-11,2583046
23-Mar-11,2601341
30-Mar-11,2622523
06-Apr-11,2648676
13-Apr-11,2665408
20-Apr-11,2685782
27-Apr-11,2690985
04-May-11,2718757
11-May-11,2744498
18-May-11,2758009
25-May-11,2774996
01-Jun-11,2788723
08-Jun-11,2811206
15-Jun-11,2827549
22-Jun-11,2856403
29-Jun-11,2865251
06-Jul-11,2870103
13-Jul-11,2878074
20-Jul-11,2871301
27-Jul-11,2863576
03-Aug-11,2867215
10-Aug-11,2872423
17-Aug-11,2857906
24-Aug-11,2859433
31-Aug-11,2853888
07-Sep-11,2858660
14-Sep-11,2863540
21-Sep-11,2857747
28-Sep-11,2850921
05-Oct-11,2859701
12-Oct-11,2860822
19-Oct-11,2852390
26-Oct-11,2845685
02-Nov-11,2822034
09-Nov-11,2839786
16-Nov-11,2831576
23-Nov-11,2821980
30-Nov-11,2814235
07-Dec-11,2820691
14-Dec-11,2902488
21-Dec-11,2916085
28-Dec-11,2926095
04-Jan-12,2917689
11-Jan-12,2899149
18-Jan-12,2919423
25-Jan-12,2919545
01-Feb-12,2924947
08-Feb-12,2928275
15-Feb-12,2937893
22-Feb-12,2932813
29-Feb-12,2925722
07-Mar-12,2884747
14-Mar-12,2893560
21-Mar-12,2892646
28-Mar-12,2878137
04-Apr-12,2865478
11-Apr-12,2867200
18-Apr-12,2875470
25-Apr-12,2866561
02-May-12,2864280
09-May-12,2864150
16-May-12,2850984
23-May-12,2859495
30-May-12,2842654
06-Jun-12,2852018
13-Jun-12,2869071
20-Jun-12,2870846
27-Jun-12,2863547
04-Jul-12,2865858
11-Jul-12,2866279
18-Jul-12,2855807
25-Jul-12,2846757
01-Aug-12,2851118
08-Aug-12,2856181
15-Aug-12,2833317
22-Aug-12,2825661
29-Aug-12,2812806
05-Sep-12,2822169
12-Sep-12,2823448
19-Sep-12,2821574
26-Sep-12,2804457
03-Oct-12,2808512
10-Oct-12,2811623
17-Oct-12,2846920
24-Oct-12,2840964
31-Oct-12,2823137
07-Nov-12,2830791
14-Nov-12,2877244
21-Nov-12,2871161
28-Nov-12,2851362
05-Dec-12,2859807
12-Dec-12,2917260
19-Dec-12,2920231
26-Dec-12,2907300
02-Jan-13,2917189
09-Jan-13,2928728
16-Jan-13,2963812
23-Jan-13,3011697
30-Jan-13,3008704
06-Feb-13,3014975
13-Feb-13,3074225
20-Feb-13,3095150
27-Feb-13,3090600
06-Mar-13,3108805
13-Mar-13,3165396
20-Mar-13,3206888
27-Mar-13,3202256
03-Apr-13,3215432
10-Apr-13,3227762
17-Apr-13,3295109
24-Apr-13,3318649
01-May-13,3317194
08-May-13,3324615
15-May-13,3354269
22-May-13,3398713
29-May-13,3385128
05-Jun-13,3400183
12-Jun-13,3410842
19-Jun-13,3470530
26-Jun-13,3478672
03-Jul-13,3492742
10-Jul-13,3504095
17-Jul-13,3537861
24-Jul-13,3574574
31-Jul-13,3571797
07-Aug-13,3585359
14-Aug-13,3646323
21-Aug-13,3645668
28-Aug-13,3644456
04-Sep-13,3654182
11-Sep-13,3662035
18-Sep-13,3722192
25-Sep-13,3734018
02-Oct-13,3747387
09-Oct-13,3758663
